Model,f-Mark Type,Weight Type,Input Value,PWFCF Lower,PWFCF Upper
ball_continuous_radius_alpha=0,product,intersection,0.01,0.0284215627060985,0.3991476801411032
ball_continuous_radius_alpha=0,product,intersection,0.02,0.0284215627060985,0.3991476801411032
ball_continuous_radius_alpha=0,product,intersection,0.03,0.0284215627060985,0.533714607572354
ball_continuous_radius_alpha=0,product,intersection,0.04,0.0284215627060985,0.533714607572354
ball_continuous_radius_alpha=0,product,intersection,0.05,0.0284215627060985,0.533714607572354
ball_continuous_radius_alpha=0,product,intersection,0.06,0.0284215627060985,0.533714607572354
ball_continuous_radius_alpha=0,product,intersection,0.07,0.0407065657554622,0.6067466057014284
ball_continuous_radius_alpha=0,product,intersection,0.08,0.0407065657554622,0.8139818670148158
ball_continuous_radius_alpha=0,product,intersection,0.09,0.0407065657554622,0.8139818670148158
ball_continuous_radius_alpha=0,product,intersection,0.1,0.0407065657554622,0.9611931676775614
ball_continuous_radius_alpha=0,product,intersection,0.11,0.0407065657554622,1.0706900433428113
ball_continuous_radius_alpha=0,product,intersection,0.12,0.0407065657554622,1.2065509566941397
ball_continuous_radius_alpha=0,product,intersection,0.13,0.0407065657554622,1.4973471171563084
ball_continuous_radius_alpha=0,product,intersection,0.14,0.0407065657554622,1.7767319194095637
ball_continuous_radius_alpha=0,product,intersection,0.15,0.0612044276462556,1.7767319194095637
ball_continuous_radius_alpha=0,product,intersection,0.16,0.0967908577548881,1.956449604234459
ball_continuous_radius_alpha=0,product,intersection,0.17,0.2060728414587196,2.101462683254729
ball_continuous_radius_alpha=0,product,intersection,0.18,0.2060728414587196,2.101462683254729
ball_continuous_radius_alpha=0,product,intersection,0.19,0.236447344983109,2.2271905920059965
ball_continuous_radius_alpha=0,product,intersection,0.2,0.242571007598267,2.2271905920059965
ball_continuous_radius_alpha=0,product,intersection,0.21,0.242571007598267,2.331767027472861
ball_continuous_radius_alpha=0,product,intersection,0.22,0.2983073929684099,2.5731267309561985
ball_continuous_radius_alpha=0,product,intersection,0.23,0.3813757713564529,2.7812339316817907
ball_continuous_radius_alpha=0,product,intersection,0.24,0.5779531954082114,2.7812339316817907
ball_continuous_radius_alpha=0,product,intersection,0.25,0.5779531954082114,2.923032776353483
ball_continuous_radius_alpha=0,product,intersection,0.26,0.6482397313192507,3.192909851050387
ball_continuous_radius_alpha=0,product,intersection,0.27,0.6482397313192507,3.34678633601436
ball_continuous_radius_alpha=0,product,intersection,0.28,0.6482397313192507,3.34678633601436
ball_continuous_radius_alpha=0,product,intersection,0.29,0.6716540150158575,3.4373688672915934
ball_continuous_radius_alpha=0,product,intersection,0.3,0.8921829380048224,3.4373688672915934
ball_continuous_radius_alpha=0,product,intersection,0.31,1.013234378718766,3.784029710915092
ball_continuous_radius_alpha=0,product,intersection,0.32,1.013234378718766,4.031316663521834
ball_continuous_radius_alpha=0,product,intersection,0.33,1.179113303924438,4.5089269851843525
ball_continuous_radius_alpha=0,product,intersection,0.34,1.251834604445193,4.5089269851843525
ball_continuous_radius_alpha=0,product,intersection,0.35,1.251834604445193,5.011918583765521
ball_continuous_radius_alpha=0,product,intersection,0.36,1.251834604445193,5.011918583765521
ball_continuous_radius_alpha=0,product,intersection,0.37,1.5359889620772955,5.242835921140381
ball_continuous_radius_alpha=0,product,intersection,0.38,1.5359889620772955,5.412914720982922
ball_continuous_radius_alpha=0,product,intersection,0.39,1.6610276739437897,5.549113566337098
ball_continuous_radius_alpha=0,product,intersection,0.4,1.6964087490776107,5.729477829918652
ball_continuous_radius_alpha=0,product,intersection,0.41,1.9082649952518496,5.975808822683215
ball_continuous_radius_alpha=0,product,intersection,0.42,2.206850007199851,5.975808822683215
ball_continuous_radius_alpha=0,product,intersection,0.43,2.206850007199851,5.975808822683215
ball_continuous_radius_alpha=0,product,intersection,0.44,2.206850007199851,6.081465621263775
ball_continuous_radius_alpha=0,product,intersection,0.45,2.206850007199851,6.159351902603643
ball_continuous_radius_alpha=0,product,intersection,0.46,2.3875876545897547,6.3336139307313815
ball_continuous_radius_alpha=0,product,intersection,0.47,2.482292124996307,6.3336139307313815
ball_continuous_radius_alpha=0,product,intersection,0.48,2.779233836411916,6.563267128462289
ball_continuous_radius_alpha=0,product,intersection,0.49,3.137992454559486,6.563267128462289
ball_continuous_radius_alpha=0,product,intersection,0.5,3.137992454559486,6.563267128462289
ball_continuous_radius_alpha=0,product,intersection,0.51,3.3368029915248347,6.687022290804723
ball_continuous_radius_alpha=0,product,intersection,0.52,3.4259784670231226,6.77923886440438
ball_continuous_radius_alpha=0,product,intersection,0.53,3.4835278141906607,6.77923886440438
ball_continuous_radius_alpha=0,product,intersection,0.54,3.7531955722719066,6.77923886440438
ball_continuous_radius_alpha=0,product,intersection,0.55,3.8271386503305926,6.8265051063152775
ball_continuous_radius_alpha=0,product,intersection,0.56,4.113837844824751,7.051960865916901
ball_continuous_radius_alpha=0,product,intersection,0.57,4.170251234326497,7.651696531741116
ball_continuous_radius_alpha=0,product,intersection,0.58,4.437401965079131,7.718584179085307
ball_continuous_radius_alpha=0,product,intersection,0.59,4.596238770636876,7.917861541909455
ball_continuous_radius_alpha=0,product,intersection,0.6,4.716057327232861,7.982239597398498
ball_continuous_radius_alpha=0,product,intersection,0.61,4.716057327232861,8.299726967546489
ball_continuous_radius_alpha=0,product,intersection,0.62,4.716057327232861,8.45844436133194
ball_continuous_radius_alpha=0,product,intersection,0.63,4.719069668874496,8.71742358471401
ball_continuous_radius_alpha=0,product,intersection,0.64,4.822318731565589,8.71742358471401
ball_continuous_radius_alpha=0,product,intersection,0.65,4.920933447861617,8.813891973156677
ball_continuous_radius_alpha=0,product,intersection,0.66,5.131855086060817,9.003739176560481
ball_continuous_radius_alpha=0,product,intersection,0.67,5.326653549655038,9.039197951239792
ball_continuous_radius_alpha=0,product,intersection,0.68,5.420792437334584,9.080825385651016
ball_continuous_radius_alpha=0,product,intersection,0.69,5.514853047126511,9.571605811905403
ball_continuous_radius_alpha=0,product,intersection,0.7,5.726111974449609,10.008541804570177
ball_continuous_radius_alpha=0,product,intersection,0.71,5.959435300620028,10.269627295090272
ball_continuous_radius_alpha=0,product,intersection,0.72,6.268674120469341,10.464282236344694
ball_continuous_radius_alpha=0,product,intersection,0.73,6.418455573731743,10.519074794971749
ball_continuous_radius_alpha=0,product,intersection,0.74,6.606214000961056,10.519074794971749
ball_continuous_radius_alpha=0,product,intersection,0.75,6.630430125800381,10.889004501478892
ball_continuous_radius_alpha=0,product,intersection,0.76,6.776048539976934,10.91393329389552
ball_continuous_radius_alpha=0,product,intersection,0.77,7.025042489806711,11.120872654478744
ball_continuous_radius_alpha=0,product,intersection,0.78,7.110553560343823,11.153192493523722
ball_continuous_radius_alpha=0,product,intersection,0.79,7.261129333925479,11.2837737369969
ball_continuous_radius_alpha=0,product,intersection,0.8,7.261129333925479,11.2837737369969
ball_continuous_radius_alpha=0,product,intersection,0.81,7.299118124058299,11.660496651098912
ball_continuous_radius_alpha=0,product,intersection,0.82,7.365770599268662,11.89877143205502
ball_continuous_radius_alpha=0,product,intersection,0.83,7.544621163773665,12.183030325728332
ball_continuous_radius_alpha=0,product,intersection,0.84,7.744818216625888,12.183030325728332
ball_continuous_radius_alpha=0,product,intersection,0.85,7.8479445799467555,12.289329212468248
ball_continuous_radius_alpha=0,product,intersection,0.86,8.000030849918195,12.620528916023838
ball_continuous_radius_alpha=0,product,intersection,0.87,8.19360503839568,12.903700738038127
ball_continuous_radius_alpha=0,product,intersection,0.88,8.273133077099429,12.962872826619009
ball_continuous_radius_alpha=0,product,intersection,0.89,8.46562278461316,13.15366788433985
ball_continuous_radius_alpha=0,product,intersection,0.9,8.617581347576262,13.749746303320736
ball_continuous_radius_alpha=0,product,intersection,0.91,8.925660092225678,14.012166642231124
ball_continuous_radius_alpha=0,product,intersection,0.92,8.966015045538883,14.07727493798377
ball_continuous_radius_alpha=0,product,intersection,0.93,9.160671908816138,14.1688819954737
ball_continuous_radius_alpha=0,product,intersection,0.94,9.359998703599333,14.188446749728518
ball_continuous_radius_alpha=0,product,intersection,0.95,9.759160990578248,14.312533650920164
ball_continuous_radius_alpha=0,product,intersection,0.96,9.983443514382287,14.548115683949373
ball_continuous_radius_alpha=0,product,intersection,0.97,10.204826888161136,14.637365076074802
ball_continuous_radius_alpha=0,product,intersection,0.98,10.324188362970752,14.965328118224129
ball_continuous_radius_alpha=0,product,intersection,0.99,10.324188362970752,15.159687802279487
