Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
242,ball,bivariate_radius_alpha=0,product,intersection,172.0,5000,0.6664,0.3336,0.6672
242,ball,bivariate_radius_alpha=0,product,shared_area,1.7869540177770293,5000,0.9004,0.09960000000000002,0.19920000000000004
242,ball,bivariate_radius_alpha=0,product,distance,1208.4364698183176,5000,0.7728,0.22719999999999996,0.4543999999999999
242,ball,bivariate_radius_alpha=0,square,intersection,135.0,5000,0.215,0.785,0.43
242,ball,bivariate_radius_alpha=0,square,shared_area,1.1661681879473758,5000,0.134,0.866,0.268
242,ball,bivariate_radius_alpha=0,square,distance,1009.5319762848869,5000,0.875,0.125,0.25
242,ball,bivariate_radius_alpha=0,first_mark,intersection,307.0,5000,0.5428,0.45720000000000005,0.9144000000000001
242,ball,bivariate_radius_alpha=0,first_mark,shared_area,2.953122205724405,5000,0.8402,0.15980000000000005,0.3196000000000001
242,ball,bivariate_radius_alpha=0,first_mark,distance,2217.9684461032048,5000,0.8572,0.14280000000000004,0.2856000000000001
242,ball,bivariate_radius_alpha=0.25,product,intersection,174.0,5000,0.697,0.30300000000000005,0.6060000000000001
242,ball,bivariate_radius_alpha=0.25,product,shared_area,1.9180205197846782,5000,0.9624,0.03759999999999997,0.07519999999999993
242,ball,bivariate_radius_alpha=0.25,product,distance,1105.7738741119447,5000,0.1096,0.8904,0.2192
242,ball,bivariate_radius_alpha=0.25,square,intersection,135.0,5000,0.2092,0.7908,0.4184
242,ball,bivariate_radius_alpha=0.25,square,shared_area,1.1408723262969813,5000,0.0896,0.9104,0.1792
242,ball,bivariate_radius_alpha=0.25,square,distance,1000.9574893245401,5000,0.6778,0.32220000000000004,0.6444000000000001
242,ball,bivariate_radius_alpha=0.25,first_mark,intersection,309.0,5000,0.5916,0.4084,0.8168
242,ball,bivariate_radius_alpha=0.25,first_mark,shared_area,3.0588928460816596,5000,0.9404,0.059599999999999986,0.11919999999999997
242,ball,bivariate_radius_alpha=0.25,first_mark,distance,2106.731363436485,5000,0.0952,0.9048,0.1904
242,ball,bivariate_radius_alpha=0.5,product,intersection,176.0,5000,0.95,0.050000000000000044,0.10000000000000009
242,ball,bivariate_radius_alpha=0.5,product,shared_area,1.8257571062567424,5000,0.9868,0.01319999999999999,0.02639999999999998
242,ball,bivariate_radius_alpha=0.5,product,distance,940.3811218911666,5000,0.0356,0.9644,0.0712
242,ball,bivariate_radius_alpha=0.5,square,intersection,139.0,5000,0.3306,0.6694,0.6612
242,ball,bivariate_radius_alpha=0.5,square,shared_area,1.2483541665533686,5000,0.3206,0.6794,0.6412
242,ball,bivariate_radius_alpha=0.5,square,distance,1021.7901967805158,5000,0.9362,0.06379999999999997,0.12759999999999994
242,ball,bivariate_radius_alpha=0.5,first_mark,intersection,315.0,5000,0.9702,0.02980000000000005,0.0596000000000001
242,ball,bivariate_radius_alpha=0.5,first_mark,shared_area,3.0741112728101108,5000,0.9944,0.005600000000000049,0.011200000000000099
242,ball,bivariate_radius_alpha=0.5,first_mark,distance,1962.1713186716825,5000,0.0604,0.9396,0.1208
242,ball,bivariate_radius_alpha=0.75,product,intersection,116.0,5000,0.5448,0.45520000000000005,0.9104000000000001
242,ball,bivariate_radius_alpha=0.75,product,shared_area,1.1335081351424163,5000,0.6914,0.3086,0.6172
242,ball,bivariate_radius_alpha=0.75,product,distance,802.6699515197821,5000,0.3716,0.6284000000000001,0.7432
242,ball,bivariate_radius_alpha=0.75,square,intersection,137.0,5000,0.2876,0.7123999999999999,0.5752
242,ball,bivariate_radius_alpha=0.75,square,shared_area,1.3005802371577164,5000,0.5448,0.45520000000000005,0.9104000000000001
242,ball,bivariate_radius_alpha=0.75,square,distance,1002.376600519043,5000,0.733,0.267,0.534
242,ball,bivariate_radius_alpha=0.75,first_mark,intersection,253.0,5000,0.4364,0.5636,0.8728
242,ball,bivariate_radius_alpha=0.75,first_mark,shared_area,2.4340883723001325,5000,0.7188,0.2812,0.5624
242,ball,bivariate_radius_alpha=0.75,first_mark,distance,1805.0465520388252,5000,0.4218,0.5782,0.8436
242,ball,bivariate_radius_alpha=1,product,intersection,238.0,5000,0.9624,0.03759999999999997,0.07519999999999993
242,ball,bivariate_radius_alpha=1,product,shared_area,2.4524784961467034,5000,0.9932,0.006800000000000028,0.013600000000000056
242,ball,bivariate_radius_alpha=1,product,distance,1358.294035880057,5000,0.1216,0.8784,0.2432
242,ball,bivariate_radius_alpha=1,square,intersection,132.0,5000,0.2748,0.7252000000000001,0.5496
242,ball,bivariate_radius_alpha=1,square,shared_area,1.1361378267180993,5000,0.1618,0.8382000000000001,0.3236
242,ball,bivariate_radius_alpha=1,square,distance,967.9799724092516,5000,0.6026,0.3974,0.7948
242,ball,bivariate_radius_alpha=1,first_mark,intersection,370.0,5000,0.9878,0.012199999999999989,0.024399999999999977
242,ball,bivariate_radius_alpha=1,first_mark,shared_area,3.5886163228648025,5000,0.9996,0.00039999999999995595,0.0007999999999999119
242,ball,bivariate_radius_alpha=1,first_mark,distance,2326.2740082893088,5000,0.0778,0.9222,0.1556
242,ball,continuous_radius_alpha=0,product,intersection,6.6617658940995605,5000,0.9942,0.005800000000000027,0.011600000000000055
242,ball,continuous_radius_alpha=0,product,shared_area,0.061256460911089064,5000,0.9856,0.014399999999999968,0.028799999999999937
242,ball,continuous_radius_alpha=0,product,distance,43.18738991766671,5000,0.0858,0.9142,0.1716
242,ball,continuous_radius_alpha=0,square,intersection,0.4099398441828941,5000,0.1584,0.8416,0.3168
242,ball,continuous_radius_alpha=0,square,shared_area,0.003769994090962776,5000,0.2526,0.7474000000000001,0.5052
242,ball,continuous_radius_alpha=0,square,distance,3.0844139080340955,5000,0.1718,0.8282,0.3436
242,ball,continuous_radius_alpha=0,first_mark,intersection,60.977211479890734,5000,0.994,0.006000000000000005,0.01200000000000001
