Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
10,ball,ball_0_alpha=0,product,intersection,554.0,5000,0.2304,0.7696000000000001,0.4608
10,ball,ball_0_alpha=0,product,shared_area,7.30335778742005,5000,0.3914,0.6086,0.7828
10,ball,ball_0_alpha=0,product,distance,2227.0996326564828,5000,0.3038,0.6961999999999999,0.6076
10,ball,ball_0_alpha=0,square,intersection,574.0,5000,0.4026,0.5973999999999999,0.8052
10,ball,ball_0_alpha=0,square,shared_area,7.4648324030186615,5000,0.4418,0.5582,0.8836
10,ball,ball_0_alpha=0,square,distance,2266.3615075343596,5000,0.6168,0.3832,0.7664
10,ball,ball_0_alpha=0,first_mark,intersection,1128.0,5000,0.1848,0.8152,0.3696
10,ball,ball_0_alpha=0,first_mark,shared_area,14.768190190438713,5000,0.3362,0.6638,0.6724
10,ball,ball_0_alpha=0,first_mark,distance,4493.461140190842,5000,0.3002,0.6998,0.6004
10,segment,segment_1_alpha=0,product,intersection,68.0,5000,0.941,0.05900000000000005,0.1180000000000001
10,segment,segment_1_alpha=0,product,distance,3057.51193986,5000,0.35,0.65,0.7
10,segment,segment_1_alpha=0,product,angle,5822.936701804667,5000,0.5462,0.4538,0.9076
10,segment,segment_1_alpha=0,square,intersection,50.0,5000,0.1954,0.8046,0.3908
10,segment,segment_1_alpha=0,square,distance,3088.67346724,5000,0.623,0.377,0.754
10,segment,segment_1_alpha=0,square,angle,5771.784216225349,5000,0.207,0.793,0.414
10,segment,segment_1_alpha=0,first_mark,intersection,118.0,5000,0.9394,0.06059999999999999,0.12119999999999997
10,segment,segment_1_alpha=0,first_mark,distance,6146.1854071,5000,0.3544,0.6456,0.7088
10,segment,segment_1_alpha=0,first_mark,angle,11594.720918030016,5000,0.516,0.484,0.968
10,segment,segment_2_alpha=0,product,intersection,68.0,5000,0.9406,0.05940000000000001,0.11880000000000002
10,segment,segment_2_alpha=0,product,distance,3057.51193986,5000,0.362,0.638,0.724
10,segment,segment_2_alpha=0,product,angle,5822.936701804667,5000,0.5304,0.4696,0.9392
10,segment,segment_2_alpha=0,square,intersection,50.0,5000,0.202,0.798,0.404
10,segment,segment_2_alpha=0,square,distance,3088.67346724,5000,0.6252,0.3748,0.7496
10,segment,segment_2_alpha=0,square,angle,5771.784216225349,5000,0.2204,0.7796,0.4408
10,segment,segment_2_alpha=0,first_mark,intersection,118.0,5000,0.9336,0.06640000000000001,0.13280000000000003
10,segment,segment_2_alpha=0,first_mark,distance,6146.1854071,5000,0.3628,0.6372,0.7256
10,segment,segment_2_alpha=0,first_mark,angle,11594.720918030016,5000,0.5006,0.49939999999999996,0.9987999999999999
